"code","shape","dimensions","name_bond","grid_size"
"3C3042","12V9-20","100x10x2.3x4","B9-00","D64"
"3-3048","12V9-20","125x13x2.5x4","B9-00","D64"
"3-3045","12V9-20","150x13x2.3x4","B9-00","D64"
"3-3333","12V9-20","160x13x2.3x4","B9-00","D64"
"3-3043","12V9-20","175x13x2.5x4","B9-00","D64"
"3-3049","12V9-20","200x13x2.3x4","B9-00","D64"
"5-1031","12R4","100x3x2x10","B9-00","D64"
"5-1041","12R4","125x3x2x13","B9-00","D64"
"5K1041","12R4","125x4x2x13","B9-00","D64"
"5-1061","12R4","125x4x3x14","B9-00","D64"
"5-1051","12R4","150x5x3x16","B9-00","D64"
"9-3261","12R4","160x3x2x13.5","B9-00","D64"
"3L3047","12R4","200x2x4x13","B9-00","D64"
"5V0008","12A2-20","100x12x2x6","B9-00","D64"
"5-0009","12A2-20","125x16x2x3","B9-00","D64"
"5H0010","12A2-20","125x12.5x1.7x6","B9-00","D64"
"5K2021","12A2-20","125x13x1.7x6","B9-00","D64"
"5B0010","12A2-20","125x16x2x6","B9-00","D64"
"5-0014","12A2-20","150x18x2x10","B9-00","D64"
"5B0013","12A2-20","150x19x3x6","B9-00","D64"
"5F0013","12A2-20","150x21x5x6","B9-00","D64"
"3K0088","6A2","125x5(2.5+2.5)x10x22","B7-01","D126/D46"
"3-0088","6A2","125x5(2.5+2.5)x10x24","B7-01","D126/D46"
"6E3153","6A2","125x6(2+2+2)x6x18","B7-01","D126/D46"
"3-0023","6A2","125x6x4x24","B7-01","D126/D46"
"6D3153","6A2","125x6x6x18","B7-01","D126/D46"
"9P8151","4A2","100x10x2x3","B9-00","D64"
"9Y8159","4A2","100x10x2x6","B9-00","D64"
"9D9165","4A2","125x10x2x8","B9-00","D64"
"9Y9166","4A2","125x10x3x6","B9-00","D64"
"3D3077","4A2","125x12x3x3","B9-00","D64"
"5-2020","4A2","125x14x5x8(4+4)","B9-00","D64"
"9A3153","4A2","125x14x6x5(2.5+2.5)","B7-01","D126/D46"
"9L3153","4A2","125x18x6x5(2.5+2.5)","B7-01","D126/D46"
"9-9175","4A2","150x12x4x5","B9-00","D64"
"3-4009","4A2","150x13x2x6","B9-00","D64"
"3G4009","4A2","150x14x3x6","B9-00","D64"
"3F4009","4A2","150x15x4x6","B9-00","D64"
"3R4009","4A2","150x16x5x6","B9-00","D64"
